time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1610236800,40257.43,41452.12,34444,38171.57,19915.14,41986.37,17580,17580,38022.56333333333,30836.5755,42151.36701084541,19521.78398915459,39035.159114339636,40417.81643355127,NaN,NaN,76.05892331371108,83.3933256852433,NaN,NaN
1610323200,38168.89,38273.88,30100,35452.59,19915.14,41986.37,17580,30100,34608.823333333334,31418.041500000003,42422.418959122835,20413.664040877167,39419.85509119264,39896.157191668244,39303.47340676113,NaN,64.63695341963444,82.46434552310855,NaN,NaN
1610409600,35456.89,36604.51,32500,34038.98,19915.14,41986.37,17580,30100,34381.16333333334,31958.572999999997,42345.45320552877,21571.692794471222,39303.47340676113,38699.72561311495,NaN,NaN,59.62371723678672,81.12118218022397,NaN,NaN
1610496000,34035.53,37888,32309.04,37393.66,41986.37,41986.37,17580,30100,35863.56666666667,32642.358,42559.18845713014,22725.52754286986,39038.987580460314,38484.8312863496,NaN,NaN,66.30306250619347,80.02265576525727,NaN,NaN
1610582400,37393.67,40127.66,36751.11,39125.14,41986.37,41986.37,17580,30100,38667.97,33363.3795,42958.5907868419,23768.168213158104,39131.27211754364,38409.08116606388,NaN,NaN,69.14062688271162,79.11407289313111,NaN,NaN
1610668800,39123.05,39697,34298.93,36754.67,41986.37,41986.37,17580,30100,36916.86666666666,33877.3455,43032.814664112724,24721.876335887282,38855.58898607773,38248.16500417782,NaN,NaN,61.50464523389553,77.60090685622295,NaN,NaN
1610755200,36754.6,37948,35372.59,36006.94,41986.37,41986.37,30100,30100,36442.51,34364.76,42860.07955598612,25869.440444013882,38874.62228961262,37842.52487697456,NaN,NaN,59.280621898654694,75.62406023879608,NaN,NaN
1610841600,36004.8,36860,33850.03,35820,41986.37,41986.37,30100,30100,35510.01,34803.742000000006,42619.995014875036,26987.488985124975,38250.18690245106,37106.60327453104,NaN,NaN,58.709039934387825,73.53684075775656,NaN,NaN
1610928000,35820.01,37402,34736.46,36624.23,41986.37,41986.37,30100,30100,36254.23,35266.636000000006,42326.14045363516,28207.131546364846,37992.56798536298,36660.11496992763,NaN,NaN,60.47468661383225,72.1454342211388,NaN,NaN
1611014400,36624.23,37857,35895.11,35917.28,41986.37,41986.37,30100,30100,36556.46333333333,35617.629,42045.31161652028,29189.94638347972,37403.05058496533,36121.15829226079,NaN,NaN,58.12190418524047,70.36226237845834,NaN,NaN
