time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1654646400,1812.17,1838,1763.69,1790.72,2015.54,2015.54,1702.53,1702.53,1797.47,1870.325,2051.986587519232,1688.663412480768,1791.8543126858658,1814.0814517620956,NaN,NaN,39.08934424071716,37.66376349346687,NaN,NaN
1654732800,1790.63,1832.31,1775.67,1787.55,2015.54,2015.54,1702.53,1702.53,1798.51,1861.8734999999997,2042.4214883327802,1681.3255116672192,1787.2780627627526,1799.2005766294542,1778.1036399587306,NaN,38.946157458116694,38.22342684041955,NaN,NaN
1654819200,1787.44,1802.85,1654.15,1660.78,2015.54,2015.54,1702.53,1702.53,1705.9266666666665,1846.2804999999996,2039.306107469621,1653.2548925303781,1778.1036399587306,1757.2325800572012,NaN,NaN,33.639342379952595,38.523675705231945,NaN,NaN
1654905600,1660.77,1680.43,1499.79,1531.09,2015.54,2015.54,1702.53,1702.53,1570.4366666666667,1820.7889999999995,2037.4724606425134,1604.1055393574857,1735.2715025323373,1686.0334870814886,NaN,NaN,29.248501992161493,38.23573126259506,NaN,NaN
1654992000,1531.23,1545.5,1423,1433.19,2015.54,2015.54,1702.53,1702.53,1467.2300000000002,1793.8954999999999,2057.6927763676886,1530.0982236323114,1684.1683102500838,1599.0614886532694,NaN,NaN,26.442642661975853,37.65979163725493,NaN,NaN
1655078400,1432.97,1452.97,1163.31,1207.82,2015.54,2015.54,1702.53,1702.53,1274.6999999999998,1755.3789999999997,2109.7261096481707,1401.0318903518287,1591.920406784172,1459.8425473056022,NaN,NaN,21.36215477863017,36.01572105971842,NaN,NaN
1655164800,1207.9,1266.34,1074.64,1207.58,2015.54,2015.54,1702.53,1702.53,1182.8533333333332,1718.7164999999998,2135.038073655522,1302.3949263444777,1490.3193762701248,1361.075128775306,NaN,NaN,21.35744880208651,34.52240335498588,NaN,NaN
1655251200,1207.58,1247,1012.72,1236.45,2015.54,2015.54,1702.53,1702.53,1165.39,1691.0065,2155.4777972951174,1226.5352027048825,1374.8592112124588,1263.2130283612478,NaN,NaN,23.539485949303668,33.48599751077346,NaN,NaN
1655337600,1236.45,1257.04,1050.39,1066.87,2015.54,2015.54,1702.53,1702.53,1124.7666666666667,1658.1084999999996,2195.774698203879,1120.4423017961205,1277.9041131823647,1162.6761176812256,NaN,NaN,20.024808685087464,32.136835500282665,NaN,NaN
1655424000,1067.07,1117.43,1049.19,1085.76,2015.54,2015.54,1702.53,1702.53,1084.1266666666668,1622.8849999999998,2211.2280154425302,1034.5419845574693,1170.7801094903084,1096.3590612905887,NaN,NaN,21.4320733414814,31.031122469982545,NaN,NaN
1655510400,1085.65,1096.64,879.8,993.64,2015.54,2015.54,1702.53,879.8,990.0266666666666,1582.0119999999997,2223.549194606837,940.4748053931626,1075.6156149055478,1004.2208305645121,NaN,NaN,19.61904340354954,29.672498967823092,NaN,NaN
1655596800,993.64,1156.99,933.6,1126.9,2015.54,2015.54,1702.53,879.8,1072.4966666666667,1538.4419999999998,2179.3342211916824,897.5497788083172,998.1775960734202,992.9988533550784,NaN,947.3442424321576,28.978701035811852,28.976632647613144,NaN,NaN
1655683200,1126.97,1168.18,1051.3,1126.84,2015.54,2015.54,1702.53,879.8,1115.4399999999998,1497.7544999999998,2134.6686127805283,860.8403872194712,947.3442424321576,967.8025297590553,NaN,NaN,28.977064983024334,28.047007368211602,NaN,NaN
1655769600,1127.04,1193,1107.87,1124.85,2015.54,2015.54,1702.53,879.8,1141.9066666666665,1463.1945,2102.2806920109097,824.1083079890905,919.5995397195721,993.4750714723712,NaN,NaN,28.918749427737197,27.25539422425967,NaN,NaN
1655856000,1124.9,1126.44,1042.36,1048.96,2015.54,2015.54,1702.53,879.8,1072.5866666666668,1424.0199999999998,2063.8174010262996,784.2225989736999,902.3313649144949,979.2762017281348,NaN,NaN,26.71106316727841,26.371231290442616,NaN,NaN
1655942400,1048.93,1153.01,1043.68,1144,2015.54,2015.54,879.8,879.8,1113.5633333333333,1392.5575,2022.3757914420669,762.7392085579329,907.7182094557992,1023.8133120848934,NaN,NaN,33.55243900159691,25.985965686405486,NaN,NaN
1656028800,1144.01,1244.78,1131.02,1224.47,2015.54,2015.54,879.8,879.8,1200.0900000000001,1363.6135,1967.948378698065,759.278621301935,932.4817269662489,1054.2358651799277,NaN,NaN,38.76462235891048,26.352057113473908,NaN,NaN
1656115200,1224.26,1255,1178.77,1241.33,2015.54,2015.54,879.8,879.8,1225.0333333333333,1335.445,1906.519407428669,764.3705925713309,971.3372394005489,1122.3778006042355,NaN,NaN,39.829579041007285,27.107848331248608,NaN,NaN
1656201600,1241.14,1280,1194.01,1197.13,2015.54,1280,879.8,879.8,1223.7133333333334,1302.391,1822.895822221661,781.8861777783391,1019.7555817044963,1149.2342483133057,NaN,NaN,37.965484758863674,27.930908481026307,NaN,NaN
1656288000,1196.99,1237.83,1171.88,1191.27,2015.54,1280,879.8,879.8,1200.3266666666666,1271.36,1737.8632767730635,804.8567232269363,1064.013675519353,1187.4975989450766,NaN,NaN,37.71347420438631,29.098859868580316,NaN,NaN
1656374400,1191.27,1236.21,1134.9,1142.65,2015.54,1280,879.8,879.8,1171.2533333333333,1238.9564999999998,1642.4309736547862,835.4820263452134,1103.9009306259322,1177.922161240724,NaN,NaN,35.60190628647298,30.116321117465066,NaN,NaN
1656460800,1142.47,1155.21,1085.41,1099.15,2015.54,1280,879.8,879.8,1113.2566666666667,1204.5365000000002,1523.5520343098563,885.5209656901441,1124.0929106456363,1175.8729724136424,NaN,NaN,33.779597499588434,30.847757656771115,NaN,NaN
1656547200,1099.09,1105.61,997.02,1070.08,2015.54,1280,879.8,997.02,1057.57,1175.0015,1420.4922942286298,929.5107057713703,1129.8330809010813,1144.2662474484516,1128.3835874360982,NaN,32.579454534944034,31.744518074618014,NaN,NaN
1656633600,1070.08,1115,1031.86,1057.57,1280,1280,879.8,997.02,1068.1433333333332,1151.3255,1339.5321566809089,963.118843319091,1128.3835874360982,1124.244547074127,NaN,NaN,32.05170649190015,32.50306329964793,NaN,NaN
1656720000,1058.3,1077.5,1025.95,1065.61,1280,1280,879.8,997.02,1056.3533333333332,1132.9465,1273.1267595624781,992.7662404375219,1116.117388124285,1095.7315428124332,NaN,NaN,32.80506686293637,33.44492211817556,NaN,NaN
1656806400,1065.58,1087.33,1039.55,1072.88,1280,1280,879.8,997.02,1066.5866666666668,1126.1995000000002,1264.2893469077362,988.1096530922641,1105.8983955268586,1085.194439645817,NaN,NaN,33.52279506863215,33.769500263377005,NaN,NaN
